"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1179","booking idpost","chromium","Sat Nov 29 18:57:34 IST 2025","passed","Sat Nov 29 18:57:35 IST 2025","","apiposts.spec.ts","",""
"","11","duplicate occ","chromium","Sun Nov 30 23:03:33 IST 2025","passed","Sun Nov 30 23:03:33 IST 2025","","30novpractice.spec.ts","",""
"","1800","delete example","chromium","Tue Dec 02 16:59:47 IST 2025","passed","Tue Dec 02 16:59:48 IST 2025","","delete.spec.ts","",""
"","11","datedec1","chromium","Wed Dec 03 12:02:23 IST 2025","passed","Wed Dec 03 12:02:23 IST 2025","","30novpractice.spec.ts","",""
"","14","duplicate words","chromium","Wed Dec 03 12:02:20 IST 2025","passed","Wed Dec 03 12:02:20 IST 2025","","30novpractice.spec.ts","",""
"","11","dupli word","chromium","Wed Dec 03 11:42:03 IST 2025","passed","Wed Dec 03 11:42:03 IST 2025","","practice\3rddecpractice.spec.ts","",""
"","4","pyramid","chromium","Wed Dec 03 12:02:20 IST 2025","passed","Wed Dec 03 12:02:20 IST 2025","","30novpractice.spec.ts","",""
"","4","duplicate elements","chromium","Wed Dec 03 12:02:21 IST 2025","passed","Wed Dec 03 12:02:21 IST 2025","","30novpractice.spec.ts","",""
"","59","srtno","chromium","Wed Dec 03 12:02:22 IST 2025","passed","Wed Dec 03 12:02:22 IST 2025","","30novpractice.spec.ts","",""
"","18","factorial","chromium","Wed Dec 03 12:02:20 IST 2025","passed","Wed Dec 03 12:02:20 IST 2025","","30novpractice.spec.ts","",""
"","4","reversewords","chromium","Wed Dec 03 12:02:20 IST 2025","passed","Wed Dec 03 12:02:20 IST 2025","","30novpractice.spec.ts","",""
"","5","swap str","chromium","Wed Dec 03 12:02:23 IST 2025","passed","Wed Dec 03 12:02:23 IST 2025","","30novpractice.spec.ts","",""
"","2644","Creatin Booking with file","chromium","Tue Dec 02 19:23:08 IST 2025","passed","Tue Dec 02 19:23:10 IST 2025","","API\createbookingwithfile.spec.ts","",""
"","1215","health","chromium","Tue Dec 02 17:36:19 IST 2025","failed","Tue Dec 02 17:36:20 IST 2025","","healthmonitor.spec.ts","",""
"","3","primeno","chromium","Wed Dec 03 12:02:20 IST 2025","passed","Wed Dec 03 12:02:20 IST 2025","","30novpractice.spec.ts","",""
"","5","whitespc","chromium","Wed Dec 03 12:02:23 IST 2025","passed","Wed Dec 03 12:02:23 IST 2025","","30novpractice.spec.ts","",""
"","4","fibbo","chromium","Wed Dec 03 12:02:23 IST 2025","passed","Wed Dec 03 12:02:23 IST 2025","","30novpractice.spec.ts","",""
"","4","All occurence","chromium","Wed Dec 03 12:02:23 IST 2025","passed","Wed Dec 03 12:02:23 IST 2025","","30novpractice.spec.ts","",""
"","4","palindec1","chromium","Wed Dec 03 12:02:23 IST 2025","passed","Wed Dec 03 12:02:23 IST 2025","","30novpractice.spec.ts","",""
"","4","duplicate occurence","chromium","Wed Dec 03 12:02:20 IST 2025","passed","Wed Dec 03 12:02:20 IST 2025","","30novpractice.spec.ts","",""
"","8408","browser launch","chromium","Sat Nov 29 12:43:00 IST 2025","passed","Sat Nov 29 12:43:09 IST 2025","","26novpractice.spec.ts","",""
"","2193","Creatin Booking with file","chromium","Tue Dec 02 19:11:25 IST 2025","passed","Tue Dec 02 19:11:27 IST 2025","","createbookingwithfile.spec.ts","",""
"","3","intersection of array","chromium","Wed Dec 03 12:02:23 IST 2025","passed","Wed Dec 03 12:02:23 IST 2025","","30novpractice.spec.ts","",""
"","1576","put example","chromium","Sun Nov 30 14:08:57 IST 2025","passed","Sun Nov 30 14:08:59 IST 2025","","putpatch.spec.ts","",""
"","4","reverset","chromium","Wed Dec 03 12:02:22 IST 2025","passed","Wed Dec 03 12:02:22 IST 2025","","30novpractice.spec.ts","",""
"","1543","patch example","chromium","Sun Nov 30 14:14:05 IST 2025","passed","Sun Nov 30 14:14:07 IST 2025","","patchtest.spec.ts","",""
"","4","reverse elements","chromium","Wed Dec 03 12:02:22 IST 2025","passed","Wed Dec 03 12:02:22 IST 2025","","30novpractice.spec.ts","",""
"","12249","import browser","chromium","Wed Dec 03 12:02:20 IST 2025","passed","Wed Dec 03 12:02:32 IST 2025","","30novpractice.spec.ts","",""
"","17","secondsmall","chromium","Wed Dec 03 12:02:20 IST 2025","passed","Wed Dec 03 12:02:20 IST 2025","","30novpractice.spec.ts","",""
"","6","sort wors","chromium","Wed Dec 03 12:02:20 IST 2025","passed","Wed Dec 03 12:02:20 IST 2025","","30novpractice.spec.ts","",""
